exp_id	course_name	test_type	question_id	question_content	choice_id	choice_content
1	star	pre	1	How is it possible to determine the temperature of a star?	1	By its color
1	star	pre	1	How is it possible to determine the temperature of a star?	2	By its size
1	star	pre	1	How is it possible to determine the temperature of a star?	3	By its shape
1	star	pre	1	How is it possible to determine the temperature of a star?	4	All options are correct
1	star	pre	2	What are stars made of?	1	Gas
1	star	pre	2	What are stars made of?	2	Dust
1	star	pre	2	What are stars made of?	3	Meteorites
1	star	pre	2	What are stars made of?	4	All options are correct
1	star	pre	3	Do all stars have the same size and shape?	1	They have the same shape, but not the same size
1	star	pre	3	Do all stars have the same size and shape?	2	They have the same size, but not the same shape
1	star	pre	3	Do all stars have the same size and shape?	3	They all have the same size and shape
1	star	pre	3	Do all stars have the same size and shape?	4	They all have different sizes and shapes
1	star	pre	4	Mark the INCORRECT sentence.	1	The sun is the hottest star in the Universe
1	star	pre	4	Mark the INCORRECT sentence.	2	Most of the stars you see in the night sky are bigger and brighter than the sun.
1	star	pre	4	Mark the INCORRECT sentence.	3	Stars die and go through many phases of life, much like organic beings.
1	star	pre	4	Mark the INCORRECT sentence.	4	Every single star has almost the exact same chemical composition.
1	star	pre	5	How long does it take for a star to form?	1	Around  100 000 years
1	star	pre	5	How long does it take for a star to form?	2	Around 1000 years
1	star	pre	5	How long does it take for a star to form?	3	Around 10 000
1	star	pre	5	How long does it take for a star to form?	4	Around 100 000 000 years
1	star	pre	6	Is a shooting star a star?	1	It is a small meteor
1	star	pre	6	Is a shooting star a star?	2	It is a exploding star
1	star	pre	6	Is a shooting star a star?	3	It is a dead star
1	star	pre	6	Is a shooting star a star?	4	It is something not listed here
1	star	pre	7	Which of the following is NOT the name of a constellation:	1	Hippopotames
1	star	pre	7	Which of the following is NOT the name of a constellation:	2	Scorpius
1	star	pre	7	Which of the following is NOT the name of a constellation:	3	Orion
1	star	pre	7	Which of the following is NOT the name of a constellation:	4	Ursa Major
1	star	pre	8	Mark the INCORRECT sentence.	1	There is only one type of star
1	star	pre	8	Mark the INCORRECT sentence.	2	Stars consist of super hot gas, the composition of which is mostly hydrogen and helium
1	star	pre	8	Mark the INCORRECT sentence.	3	The sun is the closest star to Earth
1	star	pre	8	Mark the INCORRECT sentence.	4	On a clear night, you can see stars that are over a quadrillion miles away
1	star	pre	9	Light is a ….	1	Both a wave and a particle
1	star	pre	9	Light is a ….	2	Neither a wave nor a particle
1	star	pre	9	Light is a ….	3	Particle
1	star	pre	9	Light is a ….	4	Wave
1	star	pre	10	Stars usually ?	1	Emit light
1	star	pre	10	Stars usually ?	2	Get light from another object
1	star	pre	10	Stars usually ?	3	Star are defined by their shape and size, not by their light emittance
1	star	pre	10	Stars usually ?	4	Absorb light and then emit it when the light source is gone
1	star	pre	11	What holds  a star together	1	Its own gravity
1	star	pre	11	What holds  a star together	2	The gravity of the sun
1	star	pre	11	What holds  a star together	3	The gravity of the universe
1	star	pre	11	What holds  a star together	4	It is not known
1	star	post	1	What are stars?	1	Big hot round balls of plasma
1	star	post	1	What are stars?	2	Dead meteorites
1	star	post	1	What are stars?	3	Big hot round balls of dust
1	star	post	1	What are stars?	4	None of the options
1	star	post	2	What happens when light from a distant source passes through a small opening?	1	All options are correct
1	star	post	2	What happens when light from a distant source passes through a small opening?	2	The passing light picks up an imprint of that opening
1	star	post	2	What happens when light from a distant source passes through a small opening?	3	Its waves interfere with each other
1	star	post	2	What happens when light from a distant source passes through a small opening?	4	Its waves are bounced or bent slightly
1	star	post	3	How does a hexagon leave its imprint?	1	Dashed six-pointed star
1	star	post	3	How does a hexagon leave its imprint?	2	Dashed four-pointed star
1	star	post	3	How does a hexagon leave its imprint?	3	Concentric rings
1	star	post	3	How does a hexagon leave its imprint?	4	Series of dashed dashes
1	star	post	4	Why do we see stars as pointy?	1	Because the imperfection of our eyes leave this imprint on light
1	star	post	4	Why do we see stars as pointy?	2	Because stars are really pointy
1	star	post	4	Why do we see stars as pointy?	3	Because they are bright objects in a dark night sky
1	star	post	4	Why do we see stars as pointy?	4	None of the options are correct
1	star	post	5	How does a double slit leave its imprint?	1	Series of dashed dashes
