feature_type,model_name,student_id,slide_id,agent gaze entropy,user gaze entropy,agent workload,agent curiosity,agent valid focus,agent course follow,user workload,user curiosity,user valid focus,user course follow,agent question accuracy,user question accuracy
number,random_forest,136,1,0.5746356978376794,0.8758079577135706,0.1991999999999997,0.2025,0.6985000000000008,0.2615999999999996,0.61,0.46,1.0,0.0,1.0,1.0
number,random_forest,136,2,,0.6500224216483541,0.3694999999999998,0.4590000000000002,0.9975,0.0443999999999999,0.21,0.35,1.0,0.0,1.0,0.6666666666666666
number,random_forest,136,3,,,0.2399999999999998,0.2424999999999998,0.8794000000000004,0.1636000000000001,0.17,0.13,0.83,0.0,1.0,1.0
number,random_forest,140,1,,0.9528195311147832,0.1944,0.2161999999999999,0.7580000000000008,0.1523999999999999,0.18,0.31,1.0,0.0,0.0,0.8333333333333334
number,random_forest,140,2,,0.9206198357143052,0.4019000000000001,0.4498999999999998,0.9711,0.0126,0.36,0.41,1.0,0.0,1.0,0.6666666666666666
number,random_forest,142,1,,0.8034161391590549,0.2298999999999997,0.2531000000000002,0.8727000000000005,0.2838999999999997,0.53,0.27,0.93,0.33,1.0,1.0
number,random_forest,142,2,,0.7896900821428475,0.5344,0.3746999999999993,0.9893,0.2721000000000004,0.24,0.17,1.0,0.0,1.0,1.0
number,random_forest,142,3,,,0.2040000000000001,0.0977,0.9164,0.1233,0.22,0.1,1.0,0.17,1.0,1.0
number,random_forest,146,1,,0.9719977955078912,0.2203,0.2064999999999999,0.8564000000000004,0.2843999999999999,0.38,0.27,1.0,0.15,1.0,0.6666666666666666
number,random_forest,146,2,,0.9182958340544896,0.5045000000000004,0.3491999999999997,0.9128000000000008,0.1649,0.2,0.32,1.0,0.0,1.0,1.0
number,random_forest,146,3,,,0.1489000000000001,0.0643999999999999,0.6928000000000003,0.1133999999999999,0.2,0.14,0.88,0.75,1.0,1.0
number,random_forest,148,1,,0.754029454868228,0.1990000000000001,0.1584999999999999,0.7981000000000005,0.1467999999999999,0.24,0.14,0.75,0.0,0.0,1.0
number,random_forest,148,2,,,0.3359000000000002,0.3506999999999994,0.8186000000000001,0.1066,0.0,0.23,1.0,0.0,1.0,0.3333333333333333
number,random_forest,148,3,,,0.1977000000000001,0.1881999999999997,0.684200000000001,0.2278999999999998,0.12,0.14,0.62,0.62,0.0,0.0
number,random_forest,149,1,,0.7854752972273343,0.2084,0.2137000000000001,0.8202000000000005,0.1671,0.3,0.26,0.93,0.13,1.0,0.8333333333333334
number,random_forest,149,2,,,0.1912,0.0426999999999999,0.6799000000000008,0.1301999999999999,0.43,0.11,1.0,0.67,1.0,0.6666666666666666
number,random_forest,153,1,,0.925695104461005,0.2077,0.1835999999999999,0.7848000000000006,0.4441000000000004,0.51,0.61,1.0,0.33,1.0,0.6666666666666666
number,random_forest,153,2,,,0.3503999999999998,0.2671999999999999,0.8136000000000013,0.1503,0.24,0.12,1.0,0.0,0.0,1.0
number,random_forest,154,1,,0.942353260589238,0.2459000000000001,0.2182,0.8500000000000004,0.1517999999999999,0.41,0.48,1.0,0.5,1.0,1.0
number,random_forest,154,2,,0.9591479170272448,0.4683999999999997,0.3190000000000002,0.9909,0.1319,0.22,0.28,1.0,0.0,1.0,0.6666666666666666
number,random_forest,154,3,,,0.2791999999999998,0.2350999999999999,0.9164000000000004,0.1506,0.11,0.05,0.62,0.5,1.0,0.0
number,random_forest,155,1,,0.8342022886441014,0.2463999999999999,0.2600000000000002,0.8757000000000005,0.3462999999999997,0.32,0.22,0.75,0.0,1.0,0.8333333333333334
number,random_forest,155,2,,,0.1878999999999999,0.0435999999999999,0.659900000000001,0.1761,0.3,0.22,1.0,0.0,1.0,0.6666666666666666
number,random_forest,158,1,,0.874908736501432,0.2095999999999998,0.2255000000000002,0.8727000000000007,0.3169999999999996,0.21,0.1,0.73,0.07,1.0,0.8333333333333334
number,random_forest,158,2,,0.7896900821428475,0.3766000000000004,0.2850999999999997,0.8754999999999994,0.0553,0.45,0.48,1.0,0.0,1.0,0.6666666666666666
number,random_forest,158,3,,,0.2169999999999997,0.2347,0.9085000000000004,0.2404999999999997,0.22,0.08,0.88,0.38,1.0,0.0
number,random_forest,160,1,,0.8866828800015338,0.2644999999999998,0.2261000000000001,0.8800000000000006,0.2400999999999998,0.16,0.04,0.75,0.0,0.0,0.8333333333333334
number,random_forest,160,2,,0.9182958340544896,0.0317,0.0073,0.1031,0.0537,0.17,0.13,0.71,0.14,1.0,1.0
number,random_forest,161,1,,0.8289766039592923,0.2074,0.1732000000000001,0.6252999999999997,0.1427999999999999,0.23,0.07,0.75,0.0,1.0,0.8333333333333334
number,random_forest,161,2,,0.6500224216483541,0.4041999999999996,0.3178999999999995,0.981,0.0159,0.0,0.14,1.0,0.0,1.0,0.6666666666666666
number,random_forest,163,1,,0.7633047960617731,0.2966000000000002,0.1962999999999998,0.8642000000000003,0.1988000000000001,0.5,0.25,1.0,0.25,1.0,0.8333333333333334
number,random_forest,163,2,,1.0,0.3480999999999998,0.2039,0.850000000000001,0.1223999999999999,0.18,0.26,1.0,0.0,1.0,0.6666666666666666
number,random_forest,163,3,,,0.2163999999999999,0.1384999999999998,0.8483000000000003,0.0921,0.21,0.18,0.83,0.5,1.0,0.0
number,random_forest,164,1,,0.9609640474436812,0.1928000000000001,0.1416999999999998,0.6151,0.0924,0.42,0.65,0.75,0.0,1.0,0.6666666666666666
number,random_forest,164,2,,0.9182958340544896,0.2073000000000001,0.0945999999999998,0.4551999999999999,0.1377999999999999,0.18,0.26,1.0,0.0,1.0,0.3333333333333333
number,random_forest,165,1,,0.9321115676166748,0.2856000000000001,0.2467999999999997,0.8949000000000004,0.1331999999999999,0.29,0.34,1.0,0.0,1.0,0.8333333333333334
number,random_forest,165,2,,1.0,0.2468999999999998,0.1587000000000001,0.9479000000000002,0.0126,0.45,0.35,1.0,0.5,1.0,1.0
number,random_forest,165,3,,1.0,0.2883000000000003,0.2299000000000002,0.8966000000000004,0.1416999999999998,0.21,0.17,1.0,0.83,1.0,0.0
number,random_forest,167,1,,0.640009986715779,0.1401999999999998,0.1283999999999998,0.5314,0.1054,0.56,0.74,1.0,0.25,1.0,0.8333333333333334
number,random_forest,167,2,,0.9206198357143052,0.1817999999999998,0.104,0.6046000000000009,0.0149999999999999,0.41,0.2,1.0,0.0,1.0,1.0
number,random_forest,167,3,,,0.3152999999999998,0.2238,0.8952000000000004,0.2696999999999995,0.12,0.04,0.62,0.5,1.0,0.0
number,random_forest,175,1,,0.9690222556651344,0.2127000000000001,0.2254999999999998,0.6934000000000009,0.1496999999999998,0.57,0.38,1.0,0.25,1.0,0.6666666666666666
number,random_forest,175,2,,0.7896900821428475,0.4766999999999992,0.2500999999999996,0.9332000000000008,0.2142999999999999,0.46,0.29,1.0,0.5,0.0,0.3333333333333333
